country,attraction,url,last_page_number
Australia,Kings_Park_Botanic_Garden-Perth_Greater_Perth_Western_Australia,http://www.tripadvisor.com/Attraction_Review-g255103-d256589-Reviews-Kings_Park_Botanic_Garden-Perth_Greater_Perth_Western_Australia.html#REVIEWS,862
Australia,Royal_Botanic_Gardens_Victoria_Melbourne_Gardens-Melbourne_Victoria,http://www.tripadvisor.com/Attraction_Review-g255100-d256846-Reviews-Royal_Botanic_Gardens_Victoria_Melbourne_Gardens-Melbourne_Victoria.html#REVIEWS,690
Australia,Royal_Botanic_Gardens-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d257464-Reviews-Royal_Botanic_Gardens-Sydney_New_South_Wales.html#REVIEWS,587
Australia,Roma_Street_Parkland-Brisbane_Brisbane_Region_Queensland,http://www.tripadvisor.com/Attraction_Review-g255068-d273706-Reviews-Roma_Street_Parkland-Brisbane_Brisbane_Region_Queensland.html#REVIEWS,222
Australia,Sydney_Opera_House-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d257278-Reviews-Sydney_Opera_House-Sydney_New_South_Wales.html#REVIEWS,1340
Australia,Opera_Australia-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d607639-Reviews-Opera_Australia-Sydney_New_South_Wales.html#REVIEWS,60
Australia,Capitol_Theatre-Sydney_New_South_Wales,http://www.tripadvisor.com/Attraction_Review-g255060-d606159-Reviews-Capitol_Theatre-Sydney_New_South_Wales.html#REVIEWS,49
Australia,Queensland_Performing_Arts_Centre-Brisbane_Brisbane_Region_Queensland,http://www.tripadvisor.com/Attraction_Review-g255068-d256513-Reviews-Queensland_Performing_Arts_Centre-Brisbane_Brisbane_Region_Queensland.html#REVIEWS,88
French_Polynesia,Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago,http://www.tripadvisor.com/Attraction_Review-g1154800-d3805693-Reviews-Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago.html#REVIEWS,6
French_Polynesia,Magic_Mountain-Moorea_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309685-d2460517-Reviews-Magic_Mountain-Moorea_Society_Islands.html#REVIEWS,34
French_Polynesia,Mount_Otemanu-Bora_Bora_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g311415-d309877-Reviews-Mount_Otemanu-Bora_Bora_Society_Islands.html#REVIEWS,27
French_Polynesia,Lagoonarium-Moorea_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309685-d2141252-Reviews-Lagoonarium-Moorea_Society_Islands.html#REVIEWS,47
French_Polynesia,Toatea_Lookout-Moorea_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309685-d7007289-Reviews-Toatea_Lookout-Moorea_Society_Islands.html#REVIEWS,3
French_Polynesia,Sito_Archeologico_Di_Maeva-Huahine_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309692-d6777320-Reviews-Sito_Archeologico_Di_Maeva-Huahine_Society_Islands.html#REVIEWS,3
French_Polynesia,Fare_in_Huahine_FP-Huahine_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309692-d4413907-Reviews-Fare_in_Huahine_FP-Huahine_Society_Islands.html#REVIEWS,3
French_Polynesia,Temple_Protestant_de_Paofai-Papeete_Tahiti_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g294352-d7286622-Reviews-Temple_Protestant_de_Paofai-Papeete_Tahiti_Society_Islands.html#REVIEWS,2
French_Polynesia,Museum_of_Tahiti_and_the_Islands-Punaauia_Tahiti_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g297572-d310557-Reviews-Museum_of_Tahiti_and_the_Islands-Punaauia_Tahiti_Society_Islands.html#REVIEWS,9
French_Polynesia,Fare_Potee_maeva_huahine-Fare_Huahine_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g3219351-d8289101-Reviews-Fare_Potee_maeva_huahine-Fare_Huahine_Society_Islands.html#REVIEWS,0
French_Polynesia,Musee_de_la_Perle_Robert_WAN_The_Robert_WAN_Pearl_Museum-Papeete_Tahiti_Society_I,http://www.tripadvisor.com/Attraction_Review-g294352-d1929183-Reviews-Musee_de_la_Perle_Robert_WAN_The_Robert_WAN_Pearl_Museum-Papeete_Tahiti_Society_I.html#REVIEWS,11
French_Polynesia,Galerie_Umatatea-Huahine_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309692-d610708-Reviews-Galerie_Umatatea-Huahine_Society_Islands.html#REVIEWS,2
French_Polynesia,Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago,http://www.tripadvisor.com/Attraction_Review-g1154800-d3805693-Reviews-Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago.html#REVIEWS,6
French_Polynesia,Magic_Mountain-Moorea_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309685-d2460517-Reviews-Magic_Mountain-Moorea_Society_Islands.html#REVIEWS,34
French_Polynesia,Mount_Otemanu-Bora_Bora_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g311415-d309877-Reviews-Mount_Otemanu-Bora_Bora_Society_Islands.html#REVIEWS,27
French_Polynesia,Lagoonarium-Moorea_Society_Islands,http://www.tripadvisor.com/Attraction_Review-g309685-d2141252-Reviews-Lagoonarium-Moorea_Society_Islands.html#REVIEWS,47
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,http://www.tripadvisor.com/Attraction_Review-g255115-d257133-Reviews-Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island.html#REVIEWS,954
New_Zealand,Milford_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255124-d258213-Reviews-Milford_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island.html#REVIEWS,346
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,http://www.tripadvisor.com/Attraction_Review-g255115-d8004914-Reviews-The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island.html#REVIEWS,165
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255118-d256992-Reviews-Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island.html#REVIEWS,427
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255110-d319397-Reviews-Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island.html#REVIEWS,353
