country,attraction,address
French_Polynesia,Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago,"Atoll de Rangiroa, Avatoru 98775, French Polynesia"
French_Polynesia,Magic_Mountain-Moorea_Society_Islands,"Near Opunohu Bay, French Polynesia"
French_Polynesia,Mount_Otemanu-Bora_Bora_Society_Islands,French Polynesia
French_Polynesia,Lagoonarium-Moorea_Society_Islands,"Afareaitu pk 8.5, Cote mer, 98713, French Polynesia"
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,"55 Cable St, Wellington 6011, New Zealand"
New_Zealand,Milford_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,"Te Anau, Fiordland National Park 9679, New Zealand"
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,"15 Buckle Street | Pukeahu National War Memorial Park, Wellington 6011, New Zealand"
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,"6 Rolleston Ave, Christchurch, New Zealand"
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,"1 Tau Henare Dr, Paihia, New Zealand"
New_Zealand,Tamaki_Maori_Village-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,"1220 Hinemaru St, Rotorua 3010, New Zealand"
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,"68 Rue Balguerie, Akaroa 7520, New Zealand"
New_Zealand,Olveston_Historic_Home-Dunedin_Otago_Region_South_Island,"42 Royal Terrace, Dunedin 9016, New Zealand"
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,"55 Cable St, Wellington 6011, New Zealand"
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,"15 Buckle Street | Pukeahu National War Memorial Park, Wellington 6011, New Zealand"
New_Zealand,Omaka_Aviation_Heritage_Centre-Blenheim_Marlborough_Region_South_Island,"79 Aerodrome Road, Blenheim 7272, New Zealand"
New_Zealand,Toitu_Otago_Settlers_Museum-Dunedin_Otago_Region_South_Island,"31 Queens Garden, Dunedin 9054, New Zealand"
New_Zealand,Wai_O_Tapu_Thermal_Wonderland-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_,"201 Waiotapu Loop Road | Rd 3, Rotorua 3073, New Zealand"
New_Zealand,The_Lost_Spring-Whitianga_Coromandel_Peninsula_Waikato_Region_North_Island,"121A Cook Drive | Whitianga, Coromandel Peninsula, Whitianga 3510, New Zealand"
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,"587 Waimangu Road | Rotorua, Waimangu 3073, New Zealand"
New_Zealand,Orakei_Korako_Cave_Thermal_Park-Taupo_District_Waikato_Region_North_Island,"494 Orakeikorako Road, 3083, New Zealand"
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,"Dunedin, New Zealand"
New_Zealand,Banks_Peninsula-Christchurch_Canterbury_Region_South_Island,"Christchurch 7581, New Zealand"
New_Zealand,Pancake_Rocks_and_Blowholes_Walk-Punakaiki_West_Coast_Region_South_Island," | State Highway 6, Paparoa National Park, Punakaiki 7873, New Zealand"
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,"587 Waimangu Road | Rotorua, Waimangu 3073, New Zealand"
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,"6 Rolleston Ave, Christchurch, New Zealand"
New_Zealand,Hamilton_Gardens-Hamilton_Waikato_Region_North_Island,"Hungerford Crescent | SH1 (Off Cobham Drive), Hamilton, New Zealand"
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,"1 Tau Henare Dr, Paihia, New Zealand"
New_Zealand,Pukekura_Park-New_Plymouth_Taranaki_Region_North_Island,"Liardet Street, New Plymouth, New Zealand"
New_Zealand,Tiritiri_Matangi_Island-Auckland_Central_North_Island,"Auckland Central, Auckland, New Zealand"
New_Zealand,Doubtful_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,"Te Anau, Fiordland National Park, New Zealand"
