country,attraction,address,latitude,longitude
French_Polynesia,Fare_in_Huahine_FP-Huahine_Society_Islands,"Main Street, 98731, French Polynesia",-17.576548,-149.609975
French_Polynesia,Temple_Protestant_de_Paofai-Papeete_Tahiti_Society_Islands,"Boulevard Pomare | Papeete Waterfront, Papeete 98714, French Polynesia",-17.537937,-149.56766
French_Polynesia,Museum_of_Tahiti_and_the_Islands-Punaauia_Tahiti_Society_Islands,"PK 15 | PO. Box 380 354, Punaauia, French Polynesia",-17.6859214,-149.5844284
French_Polynesia,Fare_Potee_maeva_huahine-Fare_Huahine_Society_Islands,"Route de L aeroport, Fare 98731, French Polynesia",-17.543971,-149.578821
French_Polynesia,Musee_de_la_Perle_Robert_WAN_The_Robert_WAN_Pearl_Museum-Papeete_Tahiti_Society_I,"Boulevard Pomare, Papeete 98713, French Polynesia",-17.540467,-149.569663
French_Polynesia,Galerie_Umatatea-Huahine_Society_Islands,"BP 615 Fare Huahine ISLV | Motu de Maeva, Route du Sofitel, 98731, French Polynesia",-17.576548,-149.609975
French_Polynesia,Ile_aux_Recifs-Avatoru_Rangiroa_Tuamotu_Archipelago,"Atoll de Rangiroa, Avatoru 98775, French Polynesia",-14.963043,-147.639496
French_Polynesia,Magic_Mountain-Moorea_Society_Islands,"Near Opunohu Bay, French Polynesia",-17.4927609,-149.855504
French_Polynesia,Mount_Otemanu-Bora_Bora_Society_Islands,French Polynesia,-17.679742,-149.406843
French_Polynesia,Lagoonarium-Moorea_Society_Islands,"Afareaitu pk 8.5, Cote mer, 98713, French Polynesia",-17.550666,-149.775447
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,"55 Cable St, Wellington 6011, New Zealand",-41.2905022,174.7817372
New_Zealand,Milford_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,"Te Anau, Fiordland National Park 9679, New Zealand",-45.6060987,167.3607653
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,"15 Buckle Street | Pukeahu National War Memorial Park, Wellington 6011, New Zealand",-41.298272,174.7775258
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,"6 Rolleston Ave, Christchurch, New Zealand",-43.5323601,172.6278718
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,"1 Tau Henare Dr, Paihia, New Zealand",-35.2658154,174.0816129
